Id,Name,Address,City,State,Zip,Website
167,EDUCATIONAL TECHNICAL COLLEGE-RECINTO DE BAYAMON,CALLE SANTA CRUZ #28,BAYAMON,PR,00961,www.edutecpr.com/
168,CORTIVA INSTITUTE-MAITLAND,2600 LAKE LUCIEN DRIVE SUITE#240,MAITLAND,FL,32751,www.cortiva.edu/
169,WALDEN UNIVERSITY,"100 WASHINGTON AVENUE SOUTH, SUITE 900",MINNEAPOLIS,MN,55401,www.waldenu.edu/
170,ASSOCIATED BETH RIVKAH SCHOOLS,310 CROWN STREET,BROOKLYN,NY,11225,https://dhl.bethrivkah.edu/
171,CONCORDE CAREER COLLEGE-MEMPHIS,"5100 POPLAR AVENUE, SUITE 132",MEMPHIS,TN,38137,https://www.concorde.edu/campus/memphis-tennessee
172,CHATFIELD COLLEGE,20918 STATE ROUTE 251,SAINT MARTIN,OH,45118,www.chatfield.edu/
173,OHIO BUSINESS COLLEGE-SHEFFIELD,5095 WATERFORD DR.,SHEFFIELD VILLAGE,OH,44035,www.ohiobusinesscollege.edu/
174,SUMTER BEAUTY COLLEGE,921 CAROLINA AVE,SUMTER,SC,29150,www.sumterbeautycollege.com/
175,LOVE BEAUTY SCHOOL INC,1161 MURFREESBORO HWY,MANCHESTER,TN,37355,www.lovebeautyschool.net/
176,UNIVERSITY OF HEALTH SCIENCES AND PHARMACY IN ST. LOUIS,1 PHARMACY PLACE,SAINT LOUIS,MO,63110,www.uhsp.edu/
177,PAUL SMITHS COLLEGE OF ARTS AND SCIENCE,7777 STATE ROUTE 30,PAUL SMITHS,NY,12970,www.paulsmiths.edu/
178,SUNY COLLEGE OF AGRICULTURE AND TECHNOLOGY AT COBLESKILL,STATE ROUTE 7,COBLESKILL,NY,12043,www.cobleskill.edu/
179,ALASKA PACIFIC UNIVERSITY,4101 UNIVERSITY DR,ANCHORAGE,AK,99508,www.alaskapacific.edu/
